#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
490        0.00159128       9.28334e-05
491        0.00287865       0.00180329
492        0.000536928       0.000188196
493        1.44516       0.886629
494        0.0361345       0.0276156
495        0.0043688       0.00424404
496        0.00993       0.000776221
497        0.000851786       3.09995e-05
498        0.00356326       0.00322014
499        0.00103102       0.000140111
500        1.60563       0.550563
501        0.00193025       0.000910201
502        0.0109945       0.00321592
503        1.30399       0.640047
504        0.0110197       0.00235832
505        0.00113279       3.75683e-05
506        0.00155772       8.76068e-05
507        0.00105417       2.91427e-05
508        0.00114631       5.61145e-05
509        0.00139151       4.78354e-05
510        0.00150296       4.80802e-05
511        0.00170164       0.000119009
512        0.0015965       8.64603e-05
513        0.00127704       2.26135e-05
514        0.00122386       1.84256e-05
515        0.00103435       4.92236e-05
516        0.00164898       4.79295e-05
517        0.00141932       6.78355e-05
518        0.00153255       9.33952e-05
519        0.00174738       6.94116e-05
520        0.00136697       4.66215e-05
521        0.000933252       2.11626e-05
522        0.00128031       6.76266e-05
523        0.00115495       3.82446e-05
524        0.00109913       1.44228e-05
525        0.00121342       4.61375e-05
526        0.0012654       3.503e-05
527        0.000949977       2.89027e-05
528        0.00106643       3.77221e-05
529        0.00137717       5.29402e-05
530        0.00144612       4.91362e-05
531        0.00112933       8.42878e-05
532        0.00107288       2.23708e-05
533        0.00129597       2.58988e-05
534        0.00121046       2.85901e-05
535        0.00148235       0.000132285
536        0.00149602       0.000102736
537        0.00201639       0.000178696
538        0.00202381       0.000158727
539        0.00187647       0.000186535
540        0.000952432       8.77913e-05
541        0.00129132       0.000152972
542        0.00103458       4.04284e-05
543        0.00131035       0.000107462
544        0.00180386       0.000101775
545        0.00193463       8.32568e-05
546        0.00165633       0.0001143
547        0.00233197       0.000115417
548        0.0016503       0.000183171
549        0.00150918       0.000118006
550        0.00210651       7.76993e-05
551        0.000904158       7.08932e-05
552        0.0017433       5.73732e-05
553        0.00136161       0.000111394
554        0.00136057       0.000137145
555        0.00199976       0.000234326
556        0.00125628       0.000103228
557        0.00245806       0.000297804
558        0.00119887       0.000157159
559        0.00160077       0.000134552
560        0.00186773       0.000104765
561        0.00142743       0.000121447
562        0.00377651       0.000395157
563        0.00158875       0.000212178
564        0.00192394       9.50898e-05
565        0.00171831       0.000155221
566        0.00101748       7.74031e-05
567        0.00116635       6.3473e-05
568        0.000861818       4.61574e-05
569        0.00175552       7.82804e-05
570        0.00178187       0.000131904
571        0.00121564       9.3683e-05
572        0.00149003       7.14141e-05
573        0.00273794       0.000496821
574        0.00187169       6.81066e-05
575        0.00140985       0.00021169
576        0.000835256       4.6382e-05
577        0.00146664       6.59476e-05
578        0.0019946       0.000101902
579        0.00185582       0.000242898
580        0.00178417       0.000122886
581        0.00144549       0.000122825
582        0.00255118       6.89063e-05
583        0.00138874       3.0397e-05
584        0.00202375       7.87844e-05
585        0.00187572       0.000206406
586        0.00109343       7.92803e-05
587        0.00133864       4.33646e-05
588        0.0013322       0.00015102
589        0.00136847       0.000188219
590        0.00155704       0.000171102
591        0.00133092       9.4571e-05
592        0.00158774       0.000101685
593        0.00118403       0.000121858
594        0.00150953       0.000100051
595        0.000968106       6.07992e-05
596        0.00156083       0.000147891
597        0.00114071       8.16636e-05
598        0.00120428       0.000190156
599        0.0015484       0.000167898
600        0.0017963       6.7562e-05
601        0.00139298       0.000184339
602        0.00174889       5.17847e-05
603        0.00239582       0.000332839
604        0.00153463       0.000310172
605        0.00212974       0.000304571
606        0.00253219       0.000482844
607        0.00222357       0.000203144
608        0.00145823       5.87211e-05
609        0.00133635       7.29487e-05
610        0.00178966       0.000119397
611        0.0018433       0.000126908
612        0.00158185       0.000227881
613        0.00116998       9.5215e-05
614        0.00191891       0.000144462
615        0.00161887       0.000130307
616        0.00177257       0.000155452
617        0.00239758       0.000213179
618        0.00152009       3.00301e-05
619        0.00199062       7.84396e-05
620        0.00206949       6.87609e-05
621        0.00340158       0.000582683
622        0.00209773       0.000115497
623        0.00248732       0.000148074
624        0.00354675       0.000293389
625        0.00202661       0.000120594
626        0.00249252       0.000283785
627        0.00185891       0.000150361
628        0.0018039       0.000127177
629        0.00150054       0.000108913
630        0.00300429       0.000178642
631        0.00244862       0.000476336
632        0.00205618       0.000105909
633        0.00199668       0.000172161
634        0.00226584       8.46452e-05
635        0.00205457       0.000189679
636        0.0025336       0.000296193
637        0.00329428       0.0003607
638        0.00246164       0.000153453
639        0.00296453       0.000158206
640        0.00300291       0.000303203
641        0.00260912       9.87593e-05
642        0.00294745       0.00028023
643        0.00219141       0.000124464
644        0.00321488       0.00011847
645        0.00217451       0.000136688
646        0.00249658       0.000191109
647        0.00309054       0.000241487
648        0.00261347       0.000228692
649        0.00250727       0.00016334
650        0.00214032       0.000205029
651        0.00307053       0.000156543
652        0.0024538       0.000133909
653        0.00222195       0.000265714
654        0.00244318       0.000174407
655        0.00179784       0.000207696
656        0.00282018       0.000189834
657        0.00223878       0.00017628
658        0.00282873       0.000357985
659        0.00266093       0.000196427
660        0.00163285       0.000196671
661        0.00293389       0.000323181
662        0.00254212       0.000211833
663        0.00329779       0.000212814
664        0.00164586       0.00014466
665        0.00235785       0.000260873
666        0.00405066       0.000460839
667        0.00169335       0.000114962
668        0.00199998       0.000141466
669        0.00306139       0.00030424
670        0.00217643       5.78954e-05
671        0.00196702       7.04236e-05
672        0.00279104       0.000189997
673        0.00168762       6.28209e-05
674        0.00192077       0.000106081
675        0.0022476       0.000151267
676        0.00324592       0.000363706
677        0.00205781       0.000235076
678        0.00204441       0.000125851
679        0.00239591       0.000117341
680        0.00219778       0.000174484
681        0.00250451       0.000101336
682        0.00192404       0.000197672
683        0.00194548       0.000194037
684        0.00228789       8.53819e-05
685        0.00499409       0.000832393
686        0.00303215       0.000247628
687        0.00336861       0.000408683
688        0.00238885       0.000195433
689        0.00244163       0.000112412
690        0.0027666       0.000143091
691        0.00246557       0.000191414
692        0.00174726       0.00013728
693        0.00168424       9.15e-05
694        0.00177242       0.000140359
695        0.00601939       0.00031675
696        0.00330438       0.000393347
697        0.00283269       9.2248e-05
698        0.00217376       0.000116317
699        0.00213798       0.000199832
700        0.00339918       0.000180168
701        0.00330036       0.000216187
702        0.00377326       0.000290559
703        0.00432915       0.000323663
704        0.00354877       0.000261156
705        0.00321208       0.000203261
706        0.00366959       0.00043652
707        0.0032556       0.000520776
708        0.00398221       0.000583282
709        0.00438802       0.000442944
710        0.00256054       0.000127515
711        0.0027562       0.000160667
712        0.00296621       0.000250227
713        0.00254908       0.00025151
714        0.00666069       0.000686323
715        0.00585889       0.00143812
716        0.00252678       0.000201488
717        0.00246193       0.00018703
718        0.00371507       0.00027987
719        0.00381751       0.000165192
720        0.00284046       0.000232041
721        0.00318391       0.000130327
722        0.0044525       0.000136496
723        0.00325243       0.000287203
724        0.00544757       0.000468506
725        0.00339002       0.000270583
726        0.00228531       0.000226502
727        0.00294422       0.000103756
728        0.0027393       0.000120245
729        0.00265304       0.000546315
730        0.00286527       0.000286469
731        0.00352061       0.000341868
732        0.00297851       0.000275379
733        0.00373992       0.000337624
734        0.0020836       0.000157899
735        0.003108       0.000302135
736        0.00429576       0.000214361
737        0.00273184       0.000204775
738        0.00379878       0.000264026
739        0.00310138       0.000245568
740        0.0055117       0.00045294
741        0.00326305       0.000173183
742        0.00304654       0.000239713
743        0.00265863       8.391e-05
744        0.00325668       0.000211407
745        0.00349188       0.000262784
746        0.0025742       0.000159062
747        0.00359328       0.000282064
748        0.00359803       0.000298697
749        0.00318219       0.00035
750        0.00423496       0.000299382
751        0.00288734       0.000679039
752        0.00352056       0.000328126
753        0.00388451       0.000382883
754        0.00273352       0.000295151
755        0.00304868       0.000444961
756        0.00397384       0.000406192
757        0.00425264       0.000428403
758        0.00330244       0.000399333
759        0.00262461       0.000195275
760        0.00348654       0.000213053
761        0.00363059       0.000511509
762        0.00242859       9.66518e-05
763        0.00305227       0.000208523
764        0.00487643       0.000323186
765        0.00354718       0.000312175
766        0.00379886       0.000180046
767        0.00268776       0.000157842
768        0.00351009       0.000227332
769        0.00194912       0.000176544
770        0.00270229       0.000294104
771        0.00215241       0.000191912
772        0.00265637       0.000217457
773        0.00266741       0.000299902
774        0.00430385       0.000195512
775        0.00504055       0.000707249
776        0.00392063       0.000278085
777        0.00482274       0.000395309
778        0.00334       0.000421856
779        0.00461382       0.000171809
780        0.00444253       0.000340183
781        0.0050232       0.000275842
782        0.0198872       0.00200677
783        0.00488097       0.00030103
784        0.00508451       0.000693634
785        0.0051186       0.000590776
786        0.00481229       0.000297305
787        0.00335898       0.000294603
788        0.00708675       0.000842637
789        0.00541218       0.000183198
790        0.00423772       0.00011012
791        0.0386366       0.00279175
792        0.00590727       0.000930218
793        0.00414657       0.000193558
794        0.00373858       0.000525308
795        0.00546803       0.00115007
796        0.00434998       0.000871464
797        0.00407205       0.000586255
798        0.00467904       0.000533011
799        0.00580372       0.00078007
800        0.00445505       0.000138357
801        0.00484014       0.000694819
802        0.00406176       0.000400403
803        0.00727981       0.000656679
804        0.00972972       0.00100044
805        0.00366781       0.000287655
806        0.00655745       0.000521497
807        0.00473607       0.00030497
808        0.00499787       0.000342619
809        0.00671077       0.00043677
810        0.00722958       0.00109046
811        0.00410156       0.000294873
812        0.00472063       0.000507785
813        0.00350363       0.000409851
814        0.00497543       0.00032559
815        0.00461583       0.000225066
816        0.00516197       0.00105318
817        0.0124936       0.000927716
818        0.00324015       0.000507317
819        0.00327885       0.000228853
820        0.00871257       0.0015552
821        0.00446228       0.00143733
822        0.00599371       7.80485e-05
823        0.00557603       0.000428455
824        0.00402438       0.000152103
825        0.00927221       0.00080103
826        0.00519917       0.00064711
827        0.00375632       0.000347881
828        0.00442854       0.000355192
829        0.00581224       0.000398612
830        0.00525689       0.000284601
831        0.00480579       0.000683026
832        0.00493232       0.000287623
833        0.00445004       0.000160275
834        0.00555977       0.00022722
835        0.00588293       0.000605437
836        0.00404234       0.000348088
837        0.00469592       8.10511e-05
838        0.00859359       0.000909067
839        0.0049448       0.000241496
840        0.00489831       0.000482599
841        0.00484599       0.000345627
842        0.00366555       0.000301291
843        0.00786852       0.00256839
844        0.0143672       0.000894078
845        0.00441679       0.000287399
846        0.00593348       0.00055008
847        0.00533411       0.00103787
848        0.0109448       0.00154332
849        0.00396319       0.00024731
850        0.00786381       0.00159706
851        0.00391136       0.000685979
852        0.0131334       0.00182848
853        0.00403983       0.000560992
854        0.00483006       0.000592122
855        0.000261423       2.56989e-05
856        0.000208696       9.7729e-06
857        0.000236542       1.19383e-05
858        0.000189549       5.7621e-06
859        0.000207031       2.02742e-05
860        0.000278327       8.95203e-06
861        0.000246763       9.10393e-06
862        0.000246387       1.37324e-05
863        0.000212642       6.60817e-06
864        0.000226397       3.47922e-06
865        0.000218685       6.33502e-06
866        0.000206456       1.29401e-05
867        0.000235626       1.27712e-05
868        0.000236655       1.30873e-05
869        0.000231971       8.41463e-06
870        0.000163634       2.60831e-06
871        0.000238207       4.39116e-06
872        0.000180752       5.84856e-06
873        0.000224758       7.97967e-06
874        0.000177755       9.51624e-06
875        0.000261779       1.01726e-05
876        0.000224845       5.70659e-06
877        0.000134572       5.19674e-06
878        0.000218636       9.17438e-06
879        0.000212167       1.37297e-05
880        0.000181603       1.34623e-05
881        0.000340392       5.43037e-06
882        0.000236064       1.13991e-05
883        0.000218303       3.28577e-06
884        0.000184016       7.5854e-06
885        0.000486362       3.13005e-05
886        0.00035813       1.18012e-05
887        0.000616163       2.84731e-05
888        0.000328179       7.35027e-06
889        0.000337085       1.37205e-05
890        0.000437712       7.03455e-06
891        0.000562089       1.40884e-05
892        0.000416033       1.69376e-05
893        0.000440226       1.17404e-05
894        0.000332358       9.46596e-06
895        0.000401022       6.07124e-06
896        0.000348188       1.54638e-05
897        0.000359137       8.41858e-06
898        0.000414171       1.36822e-05
899        0.000393814       8.86068e-06
900        0.000481073       2.04526e-05
901        0.000555984       2.95062e-05
902        0.000342342       9.83991e-06
903        0.000252916       1.77424e-05
904        0.000333187       1.24533e-05
905        0.00039891       9.27518e-06
906        0.000543464       1.81422e-05
907        0.000357587       9.47328e-06
908        0.000314644       1.11045e-05
909        0.000407279       2.00707e-05
910        0.000369106       9.07487e-06
911        0.00033224       1.81488e-05
912        0.000396022       6.86244e-06
913        0.00037122       7.02999e-06
914        0.000321973       1.26077e-05
915        0.000607509       1.51542e-05
916        0.000787527       2.69989e-05
917        0.000735879       3.89354e-05
918        0.000841721       2.89491e-05
919        0.00067938       1.77599e-05
920        0.000634709       3.29578e-05
921        0.000846634       4.85049e-05
922        0.000889599       1.44588e-05
923        0.000689505       1.54595e-05
924        0.00078692       1.01859e-05
925        0.00088137       1.87634e-05
926        0.000699014       6.04e-05
927        0.000682162       1.39634e-05
928        0.000916543       1.53548e-05
929        0.000671851       2.28863e-05
930        0.000777514       1.92605e-05
931        0.000682776       2.18193e-05
932        0.000809466       2.45747e-05
933        0.000989993       5.30951e-05
934        0.000904726       2.82908e-05
935        0.000875791       1.67199e-05
936        0.00102268       4.19649e-05
937        0.000888249       4.14774e-05
938        0.00061871       2.51036e-05
939        0.000807922       3.00455e-05
940        0.000828454       1.87009e-05
941        0.000768742       2.36727e-05
942        0.000733838       1.73177e-05
943        0.000845477       3.66503e-05
944        0.000909449       2.05927e-05
945        0.00156451       0.00017665
946        0.00294282       0.000453387
947        0.00221455       0.00011794
948        0.00140333       0.000173062
949        0.0015402       8.98769e-05
950        0.00240799       0.000240437
951        0.00159923       0.000194502
952        0.00416402       0.0010077
953        0.00579025       0.00121657
954        0.00232861       0.00100928
955        0.00210895       0.000103726
956        0.00151539       6.78834e-05
957        0.00406004       0.000457741
958        0.0029037       0.000296703
959        0.00268665       0.000284237
960        0.00273378       0.000520474
961        0.00185566       9.44641e-05
962        0.00125676       7.08201e-05
963        0.00160402       3.62729e-05
964        0.00152236       0.000100813
