#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
448        0.00295444       8.08533e-05
449        0.00303255       0.000199914
450        0.00124337       3.07907e-05
451        0.00130592       9.99548e-05
452        0.000997481       4.0063e-05
453        0.00086574       4.34262e-05
454        0.0008362       5.6924e-05
455        0.00110454       5.04801e-05
456        0.000792488       4.54851e-05
457        0.000678108       5.90531e-05
458        0.00114226       2.23972e-05
459        0.00140095       4.50337e-05
460        0.00103286       8.30428e-05
461        0.000665957       1.48247e-05
462        0.000710334       2.16958e-05
463        0.000753572       1.79805e-05
464        0.000895753       3.19477e-05
465        0.00161414       3.12083e-05
466        0.000676352       2.01665e-05
467        0.000948915       4.87343e-05
468        0.00116158       5.02177e-05
469        0.00107145       3.9238e-05
470        0.00106507       3.54953e-05
471        0.0015851       9.69749e-05
472        0.000965123       3.59879e-05
473        0.00153001       2.30786e-05
474        0.00172949       8.09989e-05
475        0.0012096       6.19926e-05
476        0.00149189       7.32694e-05
477        0.00113998       6.07029e-05
478        0.000857883       3.31394e-05
479        0.000977983       4.03708e-05
480        0.000926939       1.47135e-05
481        0.000735444       3.6939e-05
482        0.00137561       5.78431e-05
483        0.00117097       1.61519e-05
484        0.0017687       4.39576e-05
485        0.0015798       4.03118e-05
486        0.00086695       3.70002e-05
487        0.00150999       4.60471e-05
488        0.000925756       3.92434e-05
489        0.00137426       5.09222e-05
490        0.00140328       5.50991e-05
491        0.000831172       3.61554e-05
492        0.00136092       8.1397e-05
493        0.000964204       2.75896e-05
494        0.000726315       1.93974e-05
495        0.00102868       2.09353e-05
496        0.000884341       4.22476e-05
497        0.000660124       2.13286e-05
498        0.000983061       5.26062e-05
499        0.00118768       3.97749e-05
