Sample   Start  End 
390   June 16 08:38 AM  June 16 10:43 AM 
391   June 16 08:38 AM  June 16 10:46 AM 
392   June 16 08:37 AM  June 16 10:47 AM 
393   June 16 08:37 AM  June 16 10:46 AM 
394   June 16 08:36 AM  June 16 10:45 AM 
395   June 16 08:36 AM  June 16 10:46 AM 
396   June 16 08:35 AM  June 16 10:44 AM 
397   June 16 08:35 AM  June 16 10:43 AM 
398   June 16 08:34 AM  June 16 10:43 AM 
399   June 16 08:31 AM  June 16 10:42 AM 
400   June 16 07:56 AM  June 16 10:03 AM 
401   June 16 07:55 AM  June 16 10:05 AM 
402   June 16 07:54 AM  June 16 10:03 AM 
403   June 16 07:52 AM  June 16 10:01 AM 
404   June 16 07:52 AM  June 16 10:01 AM 
405   June 16 07:51 AM  June 16 10:01 AM 
406   June 16 07:44 AM  June 16 09:54 AM 
407   June 16 07:39 AM  June 16 09:47 AM 
408   June 16 07:36 AM  June 16 09:44 AM 
409   June 16 07:36 AM  June 16 09:46 AM 
410   June 16 06:44 AM  June 16 08:48 AM 
411   June 16 06:41 AM  June 16 08:49 AM 
412   June 16 06:37 AM  June 16 08:45 AM 
413   June 16 06:35 AM  June 16 08:44 AM 
414   June 16 06:33 AM  June 16 08:42 AM 
415   June 16 06:29 AM  June 16 08:36 AM 
416   June 16 06:28 AM  June 16 08:37 AM 
417   June 16 06:28 AM  June 16 08:39 AM 
418   June 16 06:25 AM  June 16 08:34 AM 
419   June 16 06:25 AM  June 16 08:36 AM 
420   June 16 06:25 AM  June 16 08:34 AM 
421   June 16 06:24 AM  June 16 09:38 AM 
422   June 16 06:23 AM  June 16 09:35 AM 
423   June 16 06:21 AM  June 16 09:31 AM 
424   June 16 06:19 AM  June 16 09:35 AM 
425   June 16 06:19 AM  June 16 09:35 AM 
426   June 16 06:18 AM  June 16 09:33 AM 
427   June 16 05:56 AM  June 16 09:12 AM 
428   June 16 05:55 AM  June 16 09:09 AM 
429   June 16 05:52 AM  June 16 09:08 AM 
430   June 16 05:50 AM  June 16 09:01 AM 
431   June 16 05:49 AM  June 16 09:01 AM 
432   June 16 05:48 AM  June 16 09:02 AM 
433   June 16 05:44 AM  June 16 08:57 AM 
434   June 16 05:40 AM  June 16 08:52 AM 
435   June 16 05:38 AM  June 16 08:55 AM 
436   June 16 05:37 AM  June 16 08:48 AM 
437   June 16 05:36 AM  June 16 08:50 AM 
438   June 16 05:34 AM  June 16 08:47 AM 
439   June 16 05:34 AM  June 16 08:47 AM 
440   June 16 05:31 AM  June 16 08:45 AM 
441   June 16 05:31 AM  June 16 08:45 AM 
442   June 16 05:30 AM  June 16 08:46 AM 
443   June 16 05:30 AM  June 16 08:45 AM 
444   June 16 05:29 AM  June 16 08:43 AM 
445   June 16 05:27 AM  June 16 08:39 AM 
446   June 16 05:25 AM  June 16 08:40 AM 
447   June 16 05:22 AM  June 16 08:38 AM 
448   June 16 05:21 AM  June 16 08:37 AM 
449   June 16 05:20 AM  June 16 08:36 AM 
450   June 16 05:18 AM  June 16 08:34 AM 
451   June 16 05:15 AM  June 16 08:31 AM 
452   June 16 04:48 AM  June 16 08:02 AM 
453   June 16 04:39 AM  June 16 07:55 AM 
454   June 16 04:39 AM  June 16 07:53 AM 
455   June 16 04:37 AM  June 16 07:51 AM 
456   June 16 04:37 AM  June 16 07:54 AM 
457   June 16 04:36 AM  June 16 07:52 AM 
458   June 16 04:28 AM  June 16 07:43 AM 
459   June 16 04:26 AM  June 16 07:36 AM 
460   June 16 04:17 AM  June 16 07:29 AM 
461   June 16 03:16 AM  June 16 07:39 AM 
462   June 16 02:31 AM  June 16 06:43 AM 
463   June 16 02:08 AM  June 16 06:29 AM 
464   June 16 02:04 AM  June 16 06:24 AM 
465   June 16 02:03 AM  June 16 06:25 AM 
466   June 16 02:03 AM  June 16 06:25 AM 
467   June 16 02:03 AM  June 16 06:24 AM 
468   June 16 02:01 AM  June 16 06:18 AM 
469   June 16 01:59 AM  June 16 06:18 AM 
470   June 16 01:54 AM  June 16 06:18 AM 
471   June 16 01:51 AM  June 16 06:21 AM 
472   June 16 01:32 AM  June 16 05:56 AM 
473   June 16 01:32 AM  June 16 05:52 AM 
474   June 16 01:30 AM  June 16 05:54 AM 
475   June 16 01:30 AM  June 16 05:49 AM 
476   June 16 01:29 AM  June 16 05:49 AM 
477   June 16 01:28 AM  June 16 05:49 AM 
478   June 16 01:26 AM  June 16 05:44 AM 
479   June 16 01:23 AM  June 16 05:39 AM 
480   June 16 01:19 AM  June 16 05:38 AM 
481   June 16 01:14 AM  June 16 05:35 AM 
482   June 16 01:14 AM  June 16 05:34 AM 
483   June 16 01:11 AM  June 16 05:27 AM 
484   June 16 01:10 AM  June 16 05:29 AM 
485   June 16 01:10 AM  June 16 05:30 AM 
486   June 16 01:10 AM  June 16 05:33 AM 
487   June 16 01:10 AM  June 16 05:30 AM 
488   June 16 01:09 AM  June 16 05:30 AM 
489   June 16 01:07 AM  June 16 05:25 AM 
490   June 16 01:03 AM  June 16 05:18 AM 
491   June 16 01:02 AM  June 16 05:21 AM 
492   June 16 01:02 AM  June 16 05:19 AM 
493   June 16 01:00 AM  June 16 05:18 AM 
494   June 16 01:00 AM  June 16 05:22 AM 
495   June 16 12:55 AM  June 16 05:14 AM 
496   June 16 12:27 AM  June 16 04:48 AM 
497   June 16 12:22 AM  June 16 04:35 AM 
498   June 16 12:18 AM  June 16 04:39 AM 
499   June 16 12:15 AM  June 16 04:39 AM 
500   June 16 12:08 AM  June 16 04:28 AM 
501   June 16 12:07 AM  June 16 06:34 AM 
502   June 16 12:06 AM  June 16 06:36 AM 
503   June 16 12:05 AM  June 16 06:28 AM 
504   June 16 12:04 AM  June 16 06:32 AM 
505   June 15 11:58 PM  June 16 06:28 AM 
506   June 15 11:57 PM  June 16 06:25 AM 
507   June 15 11:52 PM  June 16 06:23 AM 
508   June 15 11:19 PM  June 16 05:48 AM 
509   June 15 11:09 PM  June 16 05:37 AM 
510   June 15 11:00 PM  June 16 05:29 AM 
511   June 15 10:08 PM  June 16 04:36 AM 
512   June 15 09:57 PM  June 16 04:23 AM 
513   June 15 09:56 PM  June 16 04:25 AM 
514   June 15 09:46 PM  June 16 04:17 AM 
515   June 15 08:44 PM  June 16 03:16 AM 
516   June 15 07:53 PM  June 16 02:30 AM 
517   June 15 06:59 PM  June 16 01:32 AM 
518   June 15 06:59 PM  June 16 01:30 AM 
519   June 15 06:57 PM  June 16 01:32 AM 
520   June 15 06:56 PM  June 16 01:30 AM 
521   June 15 06:55 PM  June 16 01:25 AM 
522   June 15 06:47 PM  June 16 01:14 AM 
523   June 15 06:43 PM  June 16 01:13 AM 
524   June 15 06:37 PM  June 16 01:10 AM 
525   June 15 06:33 PM  June 16 01:07 AM 
526   June 15 06:33 PM  June 16 01:02 AM 
527   June 15 06:31 PM  June 16 01:01 AM 
528   June 15 06:30 PM  June 16 01:00 AM 
529   June 15 06:28 PM  June 16 01:00 AM 
530   June 15 05:53 PM  June 16 12:27 AM 
531   June 15 05:52 PM  June 16 12:22 AM 
532   June 15 05:51 PM  June 16 12:17 AM 
533   June 15 05:37 PM  June 16 12:09 AM 
534   June 15 05:36 PM  June 15 11:57 PM 
535   June 15 05:35 PM  June 16 12:14 AM 
536   June 15 05:34 PM  June 16 12:06 AM 
537   June 15 05:34 PM  June 16 12:06 AM 
538   June 15 05:32 PM  June 16 12:08 AM 
539   June 15 05:31 PM  June 16 12:05 AM 
540   June 15 05:30 PM  June 15 11:58 PM 
541   June 15 05:28 PM  June 16 02:02 AM 
542   June 15 05:28 PM  June 16 02:08 AM 
543   June 15 05:26 PM  June 16 02:03 AM 
544   June 15 05:26 PM  June 16 02:01 AM 
545   June 15 05:26 PM  June 16 02:03 AM 
546   June 15 05:26 PM  June 16 01:59 AM 
547   June 15 05:25 PM  June 16 02:02 AM 
548   June 15 05:21 PM  June 16 01:56 AM 
549   June 15 05:20 PM  June 16 01:53 AM 
550   June 15 05:17 PM  June 16 01:51 AM 
551   June 15 04:56 PM  June 16 01:28 AM 
552   June 15 04:47 PM  June 16 01:23 AM 
553   June 15 04:43 PM  June 16 01:21 AM 
554   June 15 04:41 PM  June 16 01:18 AM 
555   June 15 04:40 PM  June 16 01:10 AM 
556   June 15 04:38 PM  June 16 01:11 AM 
557   June 15 04:37 PM  June 16 01:10 AM 
