Sample   Start  End 
278   March 12 11:49 AM  March 12 11:55 PM 
279   March 12 06:01 AM  March 12 06:07 PM 
280   March 12 05:17 AM  March 12 05:28 PM 
281   March 12 05:11 AM  March 12 05:26 PM 
282   March 12 04:40 AM  March 12 04:44 PM 
283   March 12 04:35 AM  March 12 04:57 PM 
284   March 12 04:15 AM  March 12 04:20 PM 
285   March 12 04:09 AM  March 12 04:18 PM 
286   March 12 04:00 AM  March 12 04:16 PM 
287   March 12 03:57 AM  March 12 04:22 PM 
288   March 12 02:49 AM  March 12 03:04 PM 
289   March 12 02:44 AM  March 12 02:44 PM 
290   March 12 02:44 AM  March 12 02:57 PM 
291   March 12 02:43 AM  March 12 02:45 PM 
292   March 12 02:41 AM  March 12 02:58 PM 
293   March 12 02:41 AM  March 12 02:50 PM 
294   March 12 02:40 AM  March 12 02:57 PM 
295   March 12 02:38 AM  March 12 02:45 PM 
296   March 12 02:38 AM  March 12 03:03 PM 
297   March 12 02:37 AM  March 12 02:50 PM 
298   March 12 02:36 AM  March 12 02:42 PM 
299   March 12 02:34 AM  March 12 02:39 PM 
300   March 12 02:33 AM  March 12 03:57 PM 
301   March 12 02:32 AM  March 12 03:57 PM 
302   March 12 02:31 AM  March 12 03:53 PM 
303   March 12 02:30 AM  March 12 03:55 PM 
304   March 12 02:30 AM  March 12 03:48 PM 
305   March 12 02:27 AM  March 12 04:00 PM 
306   March 12 02:27 AM  March 12 03:44 PM 
307   March 12 02:24 AM  March 12 03:53 PM 
308   March 12 02:24 AM  March 12 03:59 PM 
309   March 12 02:23 AM  March 12 03:43 PM 
310   March 12 02:21 AM  March 12 03:45 PM 
311   March 12 02:19 AM  March 12 03:36 PM 
312   March 12 01:37 AM  March 12 02:58 PM 
313   March 12 01:34 AM  March 12 02:56 PM 
314   March 12 01:33 AM  March 12 02:48 PM 
315   March 12 01:29 AM  March 12 03:01 PM 
316   March 12 01:29 AM  March 12 02:51 PM 
317   March 12 01:28 AM  March 12 02:56 PM 
318   March 12 01:26 AM  March 12 02:42 PM 
319   March 12 01:25 AM  March 12 02:45 PM 
320   March 12 01:21 AM  March 12 02:43 PM 
321   March 12 01:20 AM  March 12 02:51 PM 
322   March 12 01:19 AM  March 12 02:37 PM 
323   March 12 01:18 AM  March 12 02:53 PM 
324   March 12 01:16 AM  March 12 02:37 PM 
325   March 12 01:08 AM  March 12 02:31 PM 
326   March 12 12:06 AM  March 12 01:30 PM 
327   March 12 12:06 AM  March 12 01:26 PM 
328   March 11 10:43 PM  March 12 12:06 PM 
329   March 11 10:39 PM  March 12 11:49 AM 
330   March 11 10:27 PM  March 12 11:52 AM 
331   March 11 10:17 PM  March 12 11:50 AM 
332   March 11 04:31 PM  March 12 06:00 AM 
333   March 11 04:06 PM  March 12 05:33 AM 
334   March 11 03:58 PM  March 12 05:16 AM 
335   March 11 03:53 PM  March 12 05:11 AM 
336   March 11 03:06 PM  March 12 04:40 AM 
337   March 11 02:57 PM  March 12 04:35 AM 
338   March 11 02:48 PM  March 12 04:15 AM 
339   March 11 02:36 PM  March 12 04:08 AM 
340   March 11 02:27 PM  March 12 03:56 AM 
341   March 11 12:11 PM  March 12 01:37 AM 
342   March 11 12:08 PM  March 12 01:33 AM 
343   March 11 12:04 PM  March 12 01:21 AM 
344   March 11 12:02 PM  March 12 01:24 AM 
345   March 11 11:59 AM  March 12 01:21 AM 
346   March 11 11:58 AM  March 12 01:27 AM 
347   March 11 11:57 AM  March 12 01:19 AM 
348   March 11 11:56 AM  March 12 01:19 AM 
349   March 11 11:55 AM  March 12 01:07 AM 
350   March 11 11:53 AM  March 12 02:49 AM 
351   March 11 11:53 AM  March 12 02:43 AM 
352   March 11 11:52 AM  March 12 02:32 AM 
353   March 11 11:52 AM  March 12 02:41 AM 
354   March 11 11:51 AM  March 12 02:37 AM 
355   March 11 11:50 AM  March 12 02:34 AM 
356   March 11 11:49 AM  March 12 02:40 AM 
357   March 11 11:49 AM  March 12 02:44 AM 
358   March 11 11:49 AM  March 12 02:43 AM 
359   March 11 11:48 AM  March 12 02:21 AM 
360   March 11 11:47 AM  March 12 02:37 AM 
361   March 11 11:47 AM  March 12 02:37 AM 
362   March 11 11:46 AM  March 12 02:33 AM 
363   March 11 11:45 AM  March 12 02:23 AM 
364   March 11 11:45 AM  March 12 02:36 AM 
365   March 11 11:44 AM  March 12 02:22 AM 
366   March 11 11:44 AM  March 12 02:43 AM 
367   March 11 11:44 AM  March 12 02:30 AM 
368   March 11 11:43 AM  March 12 02:33 AM 
369   March 11 11:43 AM  March 12 02:31 AM 
370   March 11 11:41 AM  March 12 02:26 AM 
371   March 11 11:41 AM  March 12 02:29 AM 
372   March 11 11:40 AM  March 12 02:27 AM 
373   March 11 11:40 AM  March 12 02:40 AM 
374   March 11 11:39 AM  March 12 02:33 AM 
375   March 11 11:38 AM  March 12 02:19 AM 
376   March 11 11:38 AM  March 12 02:23 AM 
377   March 11 11:33 AM  March 12 02:24 AM 
378   March 11 10:47 AM  March 12 01:34 AM 
379   March 11 10:43 AM  March 12 01:28 AM 
380   March 11 10:30 AM  March 12 01:18 AM 
381   March 11 09:18 AM  March 12 12:06 AM 
382   March 11 07:56 AM  March 11 10:33 PM 
383   March 11 07:55 AM  March 11 10:42 PM 
384   March 11 07:54 AM  March 11 10:39 PM 
385   March 11 07:48 AM  March 11 10:27 PM 
386   March 11 07:28 AM  March 11 10:17 PM 
387   March 11 01:38 AM  March 11 04:30 PM 
388   March 11 01:22 AM  March 11 04:06 PM 
389   March 11 01:16 AM  March 11 03:53 PM 
390   March 11 01:10 AM  March 11 03:57 PM 
391   March 11 12:16 AM  March 11 03:06 PM 
392   March 11 12:03 AM  March 11 02:47 PM 
393   March 10 11:49 PM  March 11 02:28 PM 
394   March 10 11:48 PM  March 11 02:35 PM 
395   March 10 11:43 PM  March 11 02:27 PM 
396   March 10 08:02 PM  March 11 10:43 AM 
397   March 10 07:57 PM  March 11 10:30 AM 
398   March 10 07:52 PM  March 11 10:36 AM 
399   March 10 07:51 PM  March 11 10:47 AM 
400   March 10 07:49 PM  March 11 12:04 PM 
401   March 10 07:49 PM  March 11 12:08 PM 
402   March 10 07:48 PM  March 11 12:11 PM 
403   March 10 07:47 PM  March 11 11:55 AM 
404   March 10 07:46 PM  March 11 11:47 AM 
405   March 10 07:46 PM  March 11 11:58 AM 
406   March 10 07:45 PM  March 11 11:56 AM 
407   March 10 07:44 PM  March 11 12:01 PM 
408   March 10 07:44 PM  March 11 11:51 AM 
409   March 10 07:44 PM  March 11 11:56 AM 
410   March 10 07:44 PM  March 11 11:58 AM 
411   March 10 07:43 PM  March 11 11:53 AM 
412   March 10 07:42 PM  March 11 11:39 AM 
413   March 10 07:42 PM  March 11 11:53 AM 
414   March 10 07:42 PM  March 11 11:45 AM 
415   March 10 07:41 PM  March 11 11:45 AM 
416   March 10 07:40 PM  March 11 11:52 AM 
417   March 10 07:40 PM  March 11 11:54 AM 
418   March 10 07:40 PM  March 11 11:49 AM 
419   March 10 07:40 PM  March 11 11:44 AM 
420   March 10 07:39 PM  March 11 11:43 AM 
421   March 10 07:38 PM  March 11 11:48 AM 
422   March 10 07:38 PM  March 11 11:50 AM 
423   March 10 07:38 PM  March 11 11:44 AM 
424   March 10 07:38 PM  March 11 11:48 AM 
425   March 10 07:38 PM  March 11 11:52 AM 
426   March 10 07:38 PM  March 11 11:48 AM 
427   March 10 07:37 PM  March 11 11:46 AM 
428   March 10 07:36 PM  March 11 11:42 AM 
429   March 10 07:35 PM  March 11 11:45 AM 
430   March 10 07:33 PM  March 11 11:46 AM 
431   March 10 07:32 PM  March 11 11:40 AM 
432   March 10 07:32 PM  March 11 11:38 AM 
433   March 10 07:32 PM  March 11 11:38 AM 
434   March 10 07:32 PM  March 11 11:39 AM 
435   March 10 07:31 PM  March 11 11:41 AM 
436   March 10 07:30 PM  March 11 11:44 AM 
437   March 10 07:29 PM  March 11 11:43 AM 
438   March 10 07:27 PM  March 11 11:40 AM 
439   March 10 07:22 PM  March 11 11:33 AM 
440   March 10 09:14 AM  March 11 01:38 AM 
441   March 10 09:12 AM  March 11 01:22 AM 
442   March 10 09:03 AM  March 11 01:14 AM 
443   March 10 09:01 AM  March 11 01:16 AM 
444   March 10 08:58 AM  March 11 01:09 AM 
445   March 10 07:52 AM  March 11 12:03 AM 
446   March 10 07:48 AM  March 10 11:49 PM 
447   March 10 07:48 AM  March 10 11:43 PM 
448   March 10 07:46 AM  March 10 11:48 PM 
449   March 10 07:45 AM  March 11 12:16 AM 
450   March 10 07:44 AM  March 10 07:40 PM 
451   March 10 07:44 AM  March 10 08:02 PM 
452   March 10 07:44 AM  March 10 07:50 PM 
453   March 10 07:44 AM  March 10 07:49 PM 
454   March 10 07:43 AM  March 10 07:57 PM 
455   March 10 07:43 AM  March 10 07:43 PM 
456   March 10 07:42 AM  March 10 07:44 PM 
457   March 10 07:42 AM  March 10 07:34 PM 
458   March 10 07:42 AM  March 10 07:46 PM 
459   March 10 07:42 AM  March 10 07:47 PM 
460   March 10 07:41 AM  March 10 07:49 PM 
461   March 10 07:41 AM  March 10 07:40 PM 
462   March 10 07:40 AM  March 10 07:41 PM 
463   March 10 07:40 AM  March 10 07:44 PM 
464   March 10 07:40 AM  March 10 07:43 PM 
465   March 10 07:40 AM  March 10 07:38 PM 
466   March 10 07:40 AM  March 10 07:44 PM 
467   March 10 07:39 AM  March 10 07:42 PM 
468   March 10 07:38 AM  March 10 07:33 PM 
469   March 10 07:38 AM  March 10 07:46 PM 
470   March 10 07:38 AM  March 10 07:49 PM 
471   March 10 07:38 AM  March 10 07:37 PM 
